noise_level,rep,cycles,instructions,l2d_cache,l2d_cache_refill,l2d_cache_wb,cache-references,cache-misses
1,1,36865227.0,23334290.0,825591.0,78899.0,15179.0,8016961.0,121431.0
1,2,35429796.0,23872140.0,841261.0,56781.0,12338.0,8212710.0,121118.0
1,3,34417352.0,23364029.0,813731.0,53463.0,11937.0,8032446.0,116086.0
1,4,34048711.0,23087073.0,802297.0,54444.0,12098.0,7931669.0,115129.0
1,5,34215972.0,23312034.0,799751.0,53583.0,11989.0,8006102.0,114660.0
1,6,34155525.0,23258396.0,803447.0,52919.0,11837.0,7987211.0,116562.0
1,7,34270345.0,23217628.0,797725.0,55224.0,12255.0,7971434.0,115554.0
1,8,33865748.0,23131183.0,781858.0,53333.0,11803.0,7937382.0,111370.0
1,9,33980230.0,23337344.0,797308.0,50971.0,11801.0,8015133.0,113518.0
1,10,34903400.0,23899073.0,819451.0,51485.0,11444.0,8222357.0,113491.0
5,1,53659792.0,23609475.0,833170.0,239482.0,58844.0,8113294.0,123034.0
5,2,53728760.0,23893426.0,827332.0,236442.0,56463.0,8217770.0,117140.0
5,3,54448174.0,23965818.0,848423.0,243644.0,59073.0,8239546.0,124611.0
5,4,53139594.0,23230493.0,827037.0,241615.0,59796.0,7977911.0,123895.0
5,5,52841035.0,23120696.0,811301.0,237593.0,58888.0,7943711.0,120616.0
5,6,53595056.0,23266688.0,817880.0,242067.0,60093.0,7985547.0,123074.0
5,7,54498926.0,23728518.0,829817.0,246494.0,59737.0,8142860.0,126315.0
5,8,52747771.0,23266125.0,809424.0,234826.0,56759.0,7982772.0,120262.0
5,9,53576511.0,23418947.0,819487.0,241650.0,59222.0,8043253.0,118599.0
5,10,52847905.0,23459982.0,820521.0,234710.0,57323.0,8057910.0,122730.0
10,1,53473720.0,23403154.0,807106.0,240214.0,58333.0,8033779.0,118864.0
10,2,54146407.0,23795747.0,831308.0,243851.0,61152.0,8176301.0,119262.0
10,3,53305129.0,23464702.0,817919.0,236489.0,57581.0,8059659.0,118951.0
10,4,53874749.0,23292668.0,836653.0,245801.0,60658.0,7989425.0,130150.0
10,5,54167060.0,23631506.0,841144.0,243799.0,60618.0,8118213.0,125945.0
10,6,53540998.0,23620123.0,796987.0,238064.0,57218.0,8108410.0,116382.0
10,7,53310916.0,23256046.0,812856.0,239775.0,57742.0,7987247.0,120820.0
10,8,53343963.0,23313006.0,813406.0,242576.0,60454.0,8004767.0,118286.0
10,9,52994406.0,23778093.0,827634.0,232141.0,57862.0,8182919.0,115070.0
10,10,53786093.0,24049650.0,840826.0,236800.0,57978.0,8270266.0,119187.0
100,1,54291686.0,23536497.0,826703.0,241669.0,59920.0,8079984.0,122779.0
100,2,54196321.0,23832142.0,813733.0,238877.0,60928.0,8186101.0,119549.0
100,3,54190384.0,23944944.0,836205.0,242459.0,58113.0,8226226.0,122402.0
100,4,53787954.0,23469140.0,829211.0,241366.0,59578.0,8060328.0,121547.0
100,5,54577505.0,23819362.0,833582.0,243809.0,60911.0,8182565.0,122825.0
100,6,53541291.0,23469229.0,829905.0,242114.0,59817.0,8060514.0,123848.0
100,7,53759417.0,23467212.0,821651.0,241051.0,62242.0,8058100.0,122559.0
100,8,54659034.0,23624905.0,834003.0,242045.0,59878.0,8112393.0,126151.0
100,9,53722764.0,23773886.0,826002.0,236774.0,59279.0,8173583.0,115333.0
100,10,53473194.0,23576473.0,825693.0,237368.0,58255.0,8098219.0,122490.0
