noise_level,rep,cycles,instructions,l2d_cache,l2d_cache_refill,l2d_cache_wb,cache-references,cache-misses
100,1,NA,NA,NA,NA,NA,NA,NA
100,1,54291686,23536497,826703,241669,59920,8079984,122779
100,2,NA,NA,NA,NA,NA,NA,NA
100,2,54196321,23832142,813733,238877,60928,8186101,119549
100,3,NA,NA,NA,NA,NA,NA,NA
100,3,54190384,23944944,836205,242459,58113,8226226,122402
100,4,NA,NA,NA,NA,NA,NA,NA
100,4,53787954,23469140,829211,241366,59578,8060328,121547
100,5,NA,NA,NA,NA,NA,NA,NA
100,5,54577505,23819362,833582,243809,60911,8182565,122825
100,6,NA,NA,NA,NA,NA,NA,NA
100,6,53541291,23469229,829905,242114,59817,8060514,123848
100,7,NA,NA,NA,NA,NA,NA,NA
100,7,53759417,23467212,821651,241051,62242,8058100,122559
100,8,NA,NA,NA,NA,NA,NA,NA
100,8,54659034,23624905,834003,242045,59878,8112393,126151
100,9,NA,NA,NA,NA,NA,NA,NA
100,9,53722764,23773886,826002,236774,59279,8173583,115333
100,10,NA,NA,NA,NA,NA,NA,NA
100,10,53473194,23576473,825693,237368,58255,8098219,122490
